id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,location
5211169,Simple/clean private Bedroom/ Bath,20617057,,,78745,30.20528365086204,-97.7838061930905,Private room,30,99,2,2015-06-30,0.22,1,90,POINT(-97.7838061930905 30.20528365086204)
5637160,Private Apartment off SoCo,29215254,Lianne,,78745,30.20452193669342,-97.76991001230084,Entire home/apt,200,1,0,,,1,214,POINT(-97.76991001230084 30.20452193669342)
6587433,Bright & Clean Bohemian Getaway,6505492,Katelyn,,78745,30.211169014022015,-97.80729752764857,Entire home/apt,150,1,0,,,2,50,POINT(-97.80729752764857 30.211169014022015)
8349440,Spacious House with Hot Tub,42209974,Matthew,,78745,30.19599731317264,-97.78007288305619,Entire home/apt,350,1,0,,,1,47,POINT(-97.78007288305619 30.19599731317264)
8554392,Vintage secluded bungalow w/gardens,45026487,Andrea,,78745,30.206326557582937,-97.77649276629433,Entire home/apt,300,2,0,,,1,364,POINT(-97.77649276629433 30.206326557582937)
5538928,Backyard Studio,23507571,Lacey And Trey,,78745,30.220588696072145,-97.78270761838206,Entire home/apt,95,2,15,2015-10-17,1.91,1,37,POINT(-97.78270761838206 30.220588696072145)
737355,Charming Bed & Breakfast Cottage,3840006,Dianna,,78745,30.21739097357028,-97.7922768329067,Entire home/apt,100,2,15,2015-10-25,0.40,1,363,POINT(-97.7922768329067 30.21739097357028)
9115763,F1 House,28605460,Raul,,78745,30.221039425794864,-97.7815029093215,Entire home/apt,300,2,0,,,2,365,POINT(-97.7815029093215 30.221039425794864)
5190362,COOL RETRO AIRSTREAM FOR RENT,21573860,Dave,,78745,30.228371474289272,-97.78724682417759,Entire home/apt,69,2,20,2015-11-01,2.55,4,180,POINT(-97.78724682417759 30.228371474289272)
8285425,This is a 'Tiny' House (very tiny!),6201605,(Ms.) Kip,,78745,30.224723177028498,-97.78529671189922,Entire home/apt,95,2,2,2015-10-11,1.43,1,357,POINT(-97.78529671189922 30.224723177028498)
7895103,Corporate Suite close to Downtown,41626352,Stony Creek,,78745,30.222291687716343,-97.79187753893135,Entire home/apt,99,1,8,2015-10-17,3.08,1,272,POINT(-97.79187753893135 30.222291687716343)
5392673,House on DT BusLine for SXSW!,26504570,Kayleigh,,78745,30.222006049227847,-97.7756340276682,Entire home/apt,400,2,0,,,1,236,POINT(-97.7756340276682 30.222006049227847)
4204316,Welcome to The Atomic Ranch! 3/1,579290,Jay,,78745,30.219994898111636,-97.7908556593913,Entire home/apt,200,2,4,2015-08-23,0.30,17,356,POINT(-97.7908556593913 30.219994898111636)
4341467,Quiet & peaceful South Austin home,22538076,Jessica,,78745,30.188691070163458,-97.82751617713511,Entire home/apt,1100,1,0,,,1,365,POINT(-97.82751617713511 30.188691070163458)
5284932,Classic Convenient 3/2 South Austin,7939636,Amber & Jared,,78745,30.185429773690238,-97.78698210892118,Entire home/apt,360,2,0,,,1,364,POINT(-97.78698210892118 30.185429773690238)
699485,1 rm in house - 10 mi from SXSW!!,3587826,David,,78745,30.19453967590916,-97.78278649938926,Entire home/apt,400,1,0,,,1,365,POINT(-97.78278649938926 30.19453967590916)
2459034,2BR/2BA South Austin With Pool,4641823,Erica,,78745,30.198254138152972,-97.78842927158354,Entire home/apt,157,2,3,2015-03-21,0.16,7,219,POINT(-97.78842927158354 30.198254138152972)
2426219,SXSW home for rent!,12401124,Sam,,78745,30.212001614179897,-97.77546544204847,Entire home/apt,260,4,1,2014-03-11,0.05,1,365,POINT(-97.77546544204847 30.212001614179897)
956613,Suzanne's Homestead,2895587,Suzanne,,78745,30.18528407195618,-97.78814405494822,Entire home/apt,75,1,1,2014-03-17,0.05,1,365,POINT(-97.78814405494822 30.18528407195618)
1892747,South Austin Charm,9838212,B. Sterling,,78745,30.200498028831937,-97.83595025024395,Entire home/apt,350,1,0,,,1,365,POINT(-97.83595025024395 30.200498028831937)
5048745,Great Location for SXSW! 2BR/2BA,18115334,Travis,,78745,30.20557971799121,-97.83470124795136,Entire home/apt,150,6,3,2015-10-11,0.39,2,87,POINT(-97.83470124795136 30.20557971799121)
4833418,Mid-Century Modern Bungalow,1775248,Alex,,78745,30.22541887294908,-97.77935443782113,Entire home/apt,170,1,5,2015-04-19,0.50,1,355,POINT(-97.77935443782113 30.22541887294908)
6430521,The Little Zen House,32078587,Sara,,78745,30.218605877902366,-97.7882918117933,Entire home/apt,325,2,0,,,1,160,POINT(-97.7882918117933 30.218605877902366)
8507552,Super Cute Duplex,7622095,Rechelle,,78745,30.208198064290745,-97.78836403179197,Entire home/apt,100,4,0,,,2,20,POINT(-97.78836403179197 30.208198064290745)
5762115,Mid Century Bungalow South Downtown,3517669,George & Jed,,78745,30.22017172508694,-97.77874418505847,Entire home/apt,131,2,32,2015-10-12,4.55,2,350,POINT(-97.77874418505847 30.22017172508694)
6151588,Great South Austin home for rent!,28605460,Raul,,78745,30.187035599278342,-97.78436249404986,Entire home/apt,290,2,2,2015-05-24,0.32,2,84,POINT(-97.78436249404986 30.187035599278342)
2238715,S. Austin Bungalow 9min to downtown,11432013,Jill,,78745,30.213029598313664,-97.78473225758641,Entire home/apt,450,1,9,2015-05-25,0.45,1,365,POINT(-97.78473225758641 30.213029598313664)
